illustrator_name,gig_rating,gig_price_from,gig_img_url,gig_url,gig_num_rated,gig_design_type,gig_design_style,client_origins,client_names,illustrator_origins,illustrator_response_times
finder3nasu,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/144181078/original/650df8470dc24f152502963672f5d740bf5fb930.jpg",https://www.fiverr.com/finder3nasu/do-business-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=21&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=4daa0795-4ebe-4782-8cc5-e9242d9f0b2e,1000,0,0,Germany,rolandseidel746,Bangladesh,3
caterina82,4.9,40,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/140581220/original/5c9826a5c2c15bb6a30ffce7d1660ada5efbc23f.jpg",https://www.fiverr.com/caterina82/design-modern-minimalist-and-business-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=22&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=b79a10d3-7a93-4bde-8872-b88319328185,272,0,0,United Kingdom,mikebailey82,United Kingdom,2
mrtranscendence,4.9,15,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/65161479/original/37a41624938a244b1b8087e29bbaa0c71cde2f65.jpg",https://www.fiverr.com/mrtranscendence/design-premium-logo-for-you?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=23&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=39c1ed2f-d0ad-4bb8-bcfc-f3530f9092ed,1000,0,0,Germany,a_sezgin,India,3
valeriiaty,4.9,50,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/288950630/original/923220b5a5dc5f5a1af2c2e7ab491fba9af2bc38.jpg",https://www.fiverr.com/valeriiaty/design-a-playful-and-modern-logo-and-brand-identity-for-you?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=24&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=b6074cf1-1254-4644-8222-33db4c0acafb,80,0,0,Switzerland,clumsycartoons,Ukraine,5
iovitalucian,4.9,45,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/52294014/original/671edb0cef44b97602ea29faa509cfa4fe18a3c5.jpg",https://www.fiverr.com/iovitalucian/design-2-professional-logo-in-4-hours?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=25&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=b7150898-2cde-403b-a640-9a11452f8d5f,1000,0,0,United States,helhady1,Romania,2
vanillattack,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/276867625/original/62855580cf8556a9f66e161afbc3bb9492bdb824.jpg",https://www.fiverr.com/vanillattack/create-a-modern-minimalist-luxury-logo-design-for-your-business?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=26&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=6b30f9c4-e4c8-4b4d-86d8-29b0d0fe532e,350,0,0,United States,soderberg740,Pakistan,1
design_desk,4.9,20,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/3171448/original/6758c91c574a18649d90241594cd950c89c91b36.png",https://www.fiverr.com/design_desk/create-3-original-logo-with-vector-source-file?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=27&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=7fc9277e-74d1-4579-a682-f94d6c4e0d4c,1000,0,0,United States,tammyski,India,1
weperfectionist,4.9,15,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/97244336/original/0cff0c2e3fe1ecec298716c1c5e6ca507805eba0.jpg",https://www.fiverr.com/weperfectionist/do-minimalist-logo-design?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=28&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=6799a5aa-db17-4397-b847-d7c0ecb73712,1000,0,0,United States,amirahsviews,United Arab Emirates,1
listypop,4.9,25,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/127707871/original/58036eaa037a90f7230bfc551916036a455c3e4b.jpg",https://www.fiverr.com/listypop/design-modern-minimalist-business-logo?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=29&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&imp_id=48c6dc74-f5c5-4e49-b78c-728edea0d772,1000,0,0,United States,pwamjosed,Pakistan,1
sync_hamza,4.9,5,"https://fiverr-res.cloudinary.com/t_gig_cards_web,q_auto,f_auto/gigs/152066972/original/6010898c38ea161b3817c53c687f96a91af0e50a.png",https://www.fiverr.com/sync_hamza/design-your-desire-logo-and-branding?context_referrer=subcategory_listing&source=visual_filters&ref_ctx_id=fbe7a36ed5326e733a8417bc8ffb2b98&pckg_id=1&pos=30&context_type=rating&funnel=fbe7a36ed5326e733a8417bc8ffb2b98&ref=style%3Aflat_minimalist&seller_online=true&imp_id=61aa9fdb-85f7-4b56-a69f-61b52bde6ec4,574,0,0,United States,angelsmith448,Pakistan,1
